,,,,,,Shroom2
,,,,,,Eola1
,,,,,,Dcaf12l1
,,,,,,Magec2
,,,,,,Hnrnph2
,,,,,,4930402K13Rik
,,,,,,Hsf3
,,,,,,Snx12
,,,,,,Magea13
,,,,,,Usp27x
,,,,,,Pnma3
,,,,,,Bex3
,,,,,,Nexmif
,,,,,,Ar
,,,,,,Spin2c
,,,,,,Actrt1
,,,,,,8030474K03Rik
,,,,,,Mbtps2
,,,,,,Mageb16
,,,,,,Tmem164
,,,,,,Cldn2
,,,,,,Mageh1
,,,,,,Taf9b
,,,,,,Lancl3
,,,,,,Klhl34
,,,,,,Gpr82
,,,,,,Rtl3
,,,,,,Yipf6
,,,,,,Fancb
,,,,,,Gjb1
,,,,,,Bex4
,,,,,,Prrg1
,,,,,,Timm8a1
,,,,,,Arxes2
,,,,,,Zbtb33
,,,,,,H2bw2
,,,,,,Arxes1
,,,,,,Gm6377
,,,,,,C1galt1c1
,,,,,,Armcx3
,,,,,,Frmpd4
,,,,,,Rtl5
,,,,,,Tceal1
,,,,,,Tmsb4x
,,,,,,Armcx4
,,,,,,Lpar4
,,,,,,Rap2c
,,,,,,Bex1
,,,,,,Akap4
,,,,,,Ubqln2
,,,,,,Rhox13
,,,,,,Cxcr3
,,,,,,Amer1
,,,,,,Septin6
,,,,,,Armcx6
,,,,,,Pnma5
,,,,,,P2ry10
,,,,,,Dcaf12l2
,,,,,,Rhox11
,,,,,,Cited1
,,,,,,Ercc6l
,,,,,,Tceanc
,,,,,,Nyx
,,,,,,Trap1a
,,,,,,Pcdh19
,,,,,,6030498E09Rik
,,,,,,Tceal8
,,,,,,Otud6a
,,,,,,Ccnb3
,,,,,,Rhox2a
,,,,,,Rtl8c
,,,,,,B630019K06Rik
,,,,,,Arl13a
,,,,,,Zmat1
,,,,,,Cysltr1
,,,,,,Nrk
,,,,,,Zfy1
,,,,,,Adgrg4
,,,,,,Rhox10
,,,,,,Tceal5
,,,,,,P2ry10b
,,,,,,Sytl5
,,,,,,Xlr
,,,,,,Irs4
,,,,,,1700013H16Rik
,,,,,,Zfp182
,,,,,,Smim10l2a
,,,,,,AV320801
,,,,,,Ct55
,,,,,,Gpc3
,,,,,,Gja6
,,,,,,Nap1l3
,,,,,,Magea2
,,,,,,Usp26
,,,,,,Gpr50
,,,,,,Rlim
,,,,,,Kdm5d
,,,,,,Gpr173
,,,,,,Pou3f4
,,,,,,Nxf3
,,,,,,Cldn34b2
,,,,,,Las1l
,,,,,,Kir3dl2
,,,,,,Phex
,,,,,,Ldoc1
,,,,,,1700084M14Rik
,,,,,,Xlr3a
,,,,,,Xlr3c
,,,,,,Tcp11x2
,,,,,,Tspan7
,,,,,,Xlr5a
,,,,,,Dmtf1l
,,,,,,Eda
,,,,,,Zfp36l3
,,,,,,Mamld1
,,,,,,Nhs
,,,,,,Samt2b
,,,,,,Akap17b
,,,,,,Rp2
,,,,,,4930595M18Rik
,,,,,,Slc9a6
,,,,,,Fthl17c
,,,,,,Tmsb15a
,,,,,,Arr3
,,,,,,Etd
,,,,,,Plac1
,,,,,,Mmgt1
,,,,,,Mospd2
,,,,,,Pgk1
,,,,,,Mageb1
,,,,,,Ppef1
,,,,,,Fmr1nb
,,,,,,Hs6st2
,,,,,,Dgkk
,,,,,,Tex28
,,,,,,Ssxa1
,,,,,,Atp11c
,,,,,,Brwd3
,,,,,,Magea6
,,,,,,Utp14a
,,,,,,Gm648
,,,,,,Med14
,,,,,,Rhox8
,,,,,,Eif1ax
,,,,,,Usp51
,,,,,,Capn6
,,,,,,Pramel3
,,,,,,Trmt2b
,,,,,,Tspan6
,,,,,,Hdac8
,,,,,,Mageb18
,,,,,,Xlr5c
,,,,,,Xlr4b
,,,,,,Pwwp4a
,,,,,,Zic3
,,,,,,Htatsf1
,,,,,,Map7d3
,,,,,,Rtl8b
,,,,,,Rtl8a
,,,,,,Rhox9
,,,,,,Agtr2
,,,,,,Shroom4
,,,,,,Uty
,,,,,,Usp9y
,,,,,,Ddx3y
,,,,,,Eif2s3y
,,,,,,Uba1y
,,,,,,Foxr2
,,,,,,Rtl4
,,,,,,Tex13a
,,,,,,Sms
,,,,,,Nalf2
,,,,,,Spin4
,,,,,,Gspt2
,,,,,,Gm5941
,,,,,,Pwwp4b
,,,,,,Styx-ps
,,,,,,Rhox12
,,,,,,Rhox7a
,,,,,,Rhox3h
,,,,,,Rhox4e
,,,,,,Rhox4b
,,,,,,Rhox1
,,,,,,Fthl17e
,,,,,,Ssxb5
,,,,,,Cldn34b1
,,,,,,Fthl17f
,,,,,,Xlr5b
,,,,,,Gm10439
,,,,,,Gm15107
,,,,,,Gm15080
,,,,,,Trpc5os
,,,,,,Nup62cl
,,,,,,Ripply1
,,,,,,Tmsb15l
,,,,,,Bhlhb9
,,,,,,Gprasp2
,,,,,,Armcx5
,,,,,,Cpxcr1
,,,,,,Cylc1
,,,,,,Tent5d
,,,,,,Uprt
,,,,,,Dmrtc1b
,,,,,,Zxdb
,,,,,,Mageb2
,,,,,,Cfap47
,,,,,,Cldn34b4
,,,,,,Smim9
,,,,,,Xlr3b
,,,,,,Gm1141
,,,,,,Vma21
,,,,,,Tmem185a
,,,,,,Zfp449
,,,,,,Gm773
,,,,,,Ccdc160
,,,,,,Gm9
,,,,,,Nudt10
,,,,,,Ezhip
,,,,,,Nudt11
,,,,,,Fthl17d
,,,,,,Fthl17b
,,,,,,Fam47c
,,,,,,F8a
,,,,,,Rab9
,,,,,,Trappc2
,,,,,,Magea5
,,,,,,Magea8
,,,,,,Gm8334
,,,,,,Luzp4
,,,,,,Gm15114
,,,,,,Atg4a
,,,,,,Tceal7
,,,,,,Gm15023
,,,,,,Rpl36a
,,,,,,Cldn34c1
,,,,,,4933403O08Rik
,,,,,,1700011M02Rik
,,,,,,Gm9112
,,,,,,Pin4
,,,,,,Nhsl2
,,,,,,Med12
,,,,,,Apoo
,,,,,,Zfx
,,,,,,Pwwp4d
,,,,,,Ctag2l2
,,,,,,Ctag2l1
,,,,,,Spin2d
,,,,,,Gm14692
,,,,,,Gm1140
,,,,,,Tm9sf5
,,,,,,4933416I08Rik
,,,,,,Fsip2l
,,,,,,Rhox7b
,,,,,,Rhox2h
,,,,,,Rhox4g
,,,,,,Rhox2g
,,,,,,Rhox4d
,,,,,,Rhox4c
,,,,,,Rhox2c
,,,,,,Rhox2b
,,,,,,Rhox4a
,,,,,,Rpl39
,,,,,,Gm6268
,,,,,,Gm5751
,,,,,,Gm6592
,,,,,,Gm14459
,,,,,,Ssxb1
,,,,,,Xlr4a
,,,,,,AU015836
,,,,,,Gm3880
,,,,,,Gm715
,,,,,,Nap1l2
,,,,,,H2ab3
,,,,,,Rnf138rt1
,,,,,,Gm5934
,,,,,,A730046J19Rik
,,,,,,Rtl9
,,,,,,Nbdy
,,,,,,Kantr
,,,,,,Tmsb15b1
,,,,,,Tmsb15b2
,,,,,,Srpx
,,,,,,Cmc4
,,,,,,Kcne1l
,,,,,,Mageb11
,,,,,,Gm14569
,,,,,,Asmt
,,,,,,Gm21677
,,,,,,Gm5128
,,,,,,Magea3
,,,,,,Gm15097
,,,,,,Gm21693
,,,,,,Rbmy
,,,,,,Rhox4a2
,,,,,,Gm15091
,,,,,,Rhox5
,,,,,,Rhox3f
,,,,,,Rhox2d
,,,,,,Rhox2f
,,,,,,Gm15128
,,,,,,Gm7903
,,,,,,Gm3376
,,,,,,Magea1
,,,,,,Spin2e
,,,,,,Rhox2e
,,,,,,Gm15127
,,,,,,Gm18336
,,,,,,Btg1c
,,,,,,Tgif2lx2
,,,,,,H2al1m
,,,,,,Gm28919
,,,,,,Gm28269
,,,,,,Gm4064
,,,,,,Tex13d
,,,,,,Gm15262
,,,,,,Gm45194
,,,,,,Gm45015
,,,,,,1700018G05Rik
,,,,,,CXorf58
,,,,,,Gm3858
