Gene Name,KO1,WT1,KO3,WT3
Arap2,11.794979,0.581228,22.137716,1.262712
Arap3,1.360307,0.12227,3.189944,0.370204
Arf2,68.805946,18.810684,57.124985,18.588545
Arf4,259.325165,75.012627,220.620209,63.510017
Arfip2,24.017673,3.079767,30.623775,7.93933
Arhgap1,34.459545,13.040707,64.459312,13.075034
Arhgap12,16.793562,3.979969,34.20253,4.893537
Arhgap17,31.794571,4.878987,50.697388,7.858532
Arhgap18,8.732647,0.417068,18.211004,2.78742
Arhgap21,10.172361,0.626355,21.868563,1.260733
Arhgap22,6.673186,0.366145,9.542772,0.621257
Arhgap24,3.299165,0.254041,8.011361,1.611603
Arhgap26,7.640059,2.766391,16.778257,2.166995
Arhgap31,5.374741,0.373097,19.604826,1.223199
Arhgap32,10.349521,0.644314,29.78149,2.011411
Arhgap42,1.494066,0.388436,3.521425,0.348304
Arhgap45,1.650508,0.079145,1.660888,0.105925
Arhgap9,8.090661,0.550019,5.470574,0.24201
Arhgdia,185.731186,44.274834,219.706558,70.851448
Arhgdig,18.944353,3.560731,22.261662,3.777287
Arhgef1,88.116554,12.448707,109.284988,14.394983
Arhgef12,15.13194,6.717318,37.446354,10.622421
Arhgef17,5.874949,0.224761,13.580205,1.359805
Arhgef18,16.142586,5.051391,39.271774,9.900518
Arhgef19,2.303573,0.029134,5.033121,0.912055
Arhgef25,85.178749,8.008798,77.267128,9.811433
Arhgef3,12.694345,2.838449,25.823589,4.120841
Arhgef37,1.394039,0.210479,4.244901,0.701093
Arhgef4,0.98542,0.083106,3.227844,0.386309
Arhgef40,6.422812,0.847276,12.394949,2.096817
Arhgef5,2.984637,0.348198,6.854856,1.25829
Arid1b,8.037951,0.598258,22.864277,2.297961
Arid5a,15.685417,1.516798,15.369661,3.996725
Arid5b,14.83487,1.277721,30.658655,2.784299
Arl15,6.202112,0.781268,8.948088,1.326649
Arl4d,26.743038,1.670981,52.014645,4.463594
Arl5a,12.706963,0.514919,14.969141,1.151247
Arl8a,43.676838,2.540987,56.7094,6.173701
Armc10,14.808727,2.04472,20.200954,1.601616
Armcx1,4.51155,0.345177,8.651147,1.217257
Armcx2,9.48591,0.794579,23.46666,2.020448
Armcx4,0.842714,0.026208,1.707474,0.027482
Armcx5,8.725894,1.177588,15.490258,1.305865
Armcx6,8.895485,0.807085,24.32361,4.387276
Arnt2,1.416466,0.21147,4.371966,0.195284
Arntl,10.137282,2.592196,10.608062,2.079901
Arpc1b,78.918152,4.357825,128.377029,8.260675
Arpc3,147.247116,31.204287,132.564041,24.176023
Arpc4,81.329536,15.538679,61.694214,19.339081
Arpc5,98.203873,6.712979,105.480759,11.276862
Arrb2,37.505848,1.277424,35.784813,5.640166
Arrdc1,28.287304,1.807359,32.994019,1.376022
Arrdc4,16.605461,1.851874,14.727886,2.419226
Arx,3.296874,0.148599,6.675735,0.48607
Arxes2,17.271038,0.466361,25.05044,2.131213
Asah1,42.638794,4.58801,79.322311,9.855794
