"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000001062",37.5441691063183,0.550569379211499,0.364617235999225,1.50999273992815,0.131045276710762,0.366587093991021,28.6440259036518,51.9482137114661,54.5690922650004,20.9749471384335,39.4278375993886,29.7008980199693,"Vps9d1",72325,"8"
"ENSMUSG00000001065",12.5789039806668,-0.764420705400146,0.582334248556112,-1.31268375043287,0.189289535373062,0.457018613621772,4.09200370052168,15.007261738868,9.92165313909098,7.49105254944055,16.5046762043952,22.4567765516841,"Zfp276",57247,"8"
"ENSMUSG00000001082",9.52786063605505,1.89217103467452,0.660142673176819,2.8663061964602,0.00415292351453336,0.0326841286471824,14.7312133218781,20.7792854845864,9.92165313909098,2.99642101977622,3.66770582319894,5.07088502779964,"Mfsd10",68294,"5"
"ENSMUSG00000001089",13.7731444305185,0.25734041685578,0.509274298651914,0.505308077664588,0.613342470230063,0.825777239137718,13.0944118416694,11.5440474914369,19.843306278182,16.4803156087692,10.0861910137971,11.5905943492563,"Luzp1",269593,"4"
"ENSMUSG00000001098",13.3503780858581,0.345111989475962,0.513655347676464,0.671874615999009,0.501663521565139,0.757296479241216,13.9128125817737,15.007261738868,15.8746450225456,13.483894588993,7.33541164639788,14.4882429365704,"Kctd10",330171,"5"
"ENSMUSG00000001100",58.9279901628959,-0.144654527931946,0.285756229468624,-0.506216533585069,0.612704649514018,0.825279757277312,49.1040444062602,53.1026184606098,65.4829107180004,62.9248414153006,71.5202635523793,51.4332624248249,"Poldip2",67811,"11"
"ENSMUSG00000001105",74.0722786841053,0.116262723720791,0.277296559224423,0.419272146924465,0.675017250049317,0.862481287678345,56.4696510671992,80.8083324400584,95.2478701352734,61.4266309054125,71.5202635523793,78.9609240043087,"Ift20",55978,"11"
"ENSMUSG00000001120",137.244227943299,-0.614093384410671,0.248201637854381,-2.47417136212033,0.0133545623814668,0.0784628371438331,83.4768754906423,144.300593642961,98.2243660770007,187.276313736014,142.123600648959,168.063618064217,"Pcbp3",59093,"10"
"ENSMUSG00000001127",27.1671285314507,1.76467257425965,0.424698333180591,4.15512008498812,3.2511674339573e-05,0.000732584486080158,41.7384377453212,56.5658327080409,28.7727941033638,7.49105254944055,14.6708232927958,13.7638307897419,"Araf",11836,"X"
"ENSMUSG00000001138",10.5997376009946,1.05517860901557,0.620195618738617,1.7013641779051,0.0888746235600407,0.286673739453452,9.0024081411477,15.007261738868,19.843306278182,1.49821050988811,11.0031174695968,7.2441214682852,"Cnnm3",94218,"1"
